Characters,Meaning,Pronunciation
法规,legislation; statute,fǎguī
保障,to ensure; to guarantee; to safeguard,bǎozhàng
翻译,to translate; to interpret; translator; interpreter; translation; interpretation,fānyì
害怕,to be afraid; to be scared,hàipà
优势,superiority; dominance; advantage,yōushì
队伍,ranks; troops; queue; line; procession,duìwǔ
表达,to express; to convey,biǎodá
出口,an exit; to speak; to export; (of a ship) to leave port,chūkǒu
博士,doctor; court academician (in feudal China); Ph.D.,bóshì
移动,to move; movement; migration; mobile; portable,yídòng
感受,to sense; perception; to feel (through the senses); to experience; a feeling; an impression; an experience,gǎnshòu
生物,organism; living creature; life form; biological,shēngwù
伤害,to injure; to harm,shānghài
物质,matter; substance; material; materialistic,wùzhì
就地,locally; on the spot,jiùdì
福利,material benefit; benefit in kind; (social) welfare,fúlì
身边,at one's side; on hand,shēnbiān
路线,itinerary; route; political line (e.g. right revisionist road),lùxiàn
证据,evidence; proof; testimony,zhèngjù
案件,case; instance,ànjiàn
男性,the male sex; a male,nánxìng
遇到,to meet; to run into; to come across,yùdào
高级,high level; high grade; advanced; high-ranking,gāojí
迅速,rapid; speedy; fast,xùnsù
学会,to learn; to master; institute; learned society; (scholarly) association,xuéhuì
消费,to consume; to spend,xiāofèi
发挥,to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral); to develop (an idea); to elaborate (on a theme),fāhuī
首次,first; first time; for the first time,shǒucì
资格,qualifications; seniority,zīgé
课程,course; academic program,kèchéng
海外,overseas; abroad,hǎiwài
享受,to enjoy; to live it up; pleasure,xiǎngshòu
主义,-ism; ideology,zhǔyì
超级,super-; ultra-; hyper-,chāojí
国民,nationals; citizens; people of a nation,guómín
受伤,to sustain injuries; wounded (in an accident etc); harmed,shòushāng
从而,thus; thereby,cóngér
境内,"within the borders; internal (to a country, province, city etc); domestic",jìngnèi
文字,character; script; writing; written language; writing style; phraseology,wénzì
冲突,conflict; to conflict; clash of opposing forces; collision (of interests); contention,chōngtū
一段,N/A,N/A
当年,in those days; then; in those years; during that time,dāngnián
商品,commodity; goods; merchandise,shāngpǐn
至今,so far; to this day; until now,zhìjīn
难以,"hard to (predict, imagine etc)",nányǐ
估计,to estimate; to reckon; (coll.) to suppose,gūjì
国民党,Guomindang or Kuomintang (KMT); Nationalist Party,guómíndǎng
大部分,in large part; the greater part; the majority,dàbùfen
人才,talent; talented person; looks; attractive looks,réncái
命令,order; command,mìnglìng
培训,to cultivate; to train; to groom; training,péixùn
提升,to promote; to upgrade,tíshēng
集中,to concentrate; to centralize; to focus; centralized; concentrated; to put together,jízhōng
社会主义,socialism,shèhuìzhǔyì
如今,nowadays; now,rújīn
留下,to leave behind; to stay behind; to remain; to keep; not to let (sb) go,liúxià
食物,food,shíwù
竞争,to compete; competition,jìngzhēng
机器,machine,jīqì
修改,to amend; to alter; to modify,xiūgǎi
紧张,nervous; keyed up; intense; tense; strained; in short supply; scarce,jǐnzhāng
机制,mechanism,jīzhì
新加坡,Singapore,xīnjiāpō
纪念,to commemorate; to remember,jìniàn
爆发,to break out; to erupt; to explode; to burst out,bàofā
帝国,empire; imperial,dìguó
推广,to extend; to spread; to popularize; generalization; promotion (of a product etc),tuīguǎng
自身,itself; oneself; one's own,zìshēn
打击,to hit; to strike; to attack; to crack down on sth; blow; (psychological) shock; percussion (music),dǎjī
运行,to move along one's course (of celestial bodies etc); (fig.) to function; to be in operation; (of a train service etc) to operate; to run; (of a computer) to run,yùnxíng
名称,name (of a thing); name (of an organization),míngchēng
机械,machine; machinery; mechanical; (old) cunning; scheming,jīxiè
实验,experiment; test; experimental; to experiment,shíyàn
符合,in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle,fúhé
粮食,foodstuff; cereals,liángshi
不足,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,bùzú
形象,image; form; figure; visualization; vivid,xíngxiàng
事务,"(political, economic etc) affairs; work; transaction (as in a computer database)",shìwù
支付,to pay (money),zhīfù
娱乐,to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy,yúlè
斗争,a struggle; fight; battle,dòuzhēng
澳门,Macao; Aomen; Macau,àomén
教学,to teach; teaching and learning; education,jiàoxué
反映,to mirror; to reflect; mirror image; reflection; (fig.) to report; to make known; to render,fǎnyìng
处于,"to be in (some state, position, or condition)",chǔyú
给予,to accord; to give; to show (respect),jǐyǔ
维持,to keep; to maintain; to preserve,wéichí
吸引,"to attract (interest, investment etc)",xīyǐn
观众,spectators; audience; visitors (to an exhibition etc),guānzhòng
用于,use in; use on; use for,yòngyú
不知,"not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc)",bùzhī
区别,difference; to distinguish; to discriminate; to make a distinction,qūbié
展开,to unfold; to carry out; to be in full swing; to launch,zhǎnkāi
由来,origin,yóulái
客户,client; customer,kèhù
想到,to think of; to call to mind; to anticipate,xiǎngdào
观察,to observe; to watch; to survey; to examine; observation; view; perspective,guānchá
规范,norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify,guīfàn
发动,to start; to launch; to unleash; to mobilize; to arouse,fādòng
彻底,thorough; thoroughly; complete,chèdǐ
强大,large; formidable; powerful; strong,qiángdà
运输,to transport; to carry; transportation,yùnshū
团结,to unite; unity; solidarity; united,tuánjié
生态,ecology,shēngtài
批准,to approve; to ratify,pīzhǔn
天津,"Tianjin, a municipality in northeast China, abbr. 津",tiānjīn
风格,style,fēnggé
比例,proportion; scale,bǐlì
武汉,"Wuhan city on Changjiang, subprovincial city and capital of Hubei province",wǔhàn
实际上,in fact; in reality; as a matter of fact; in practice,shíjìshàng
降低,to reduce; to lower; to bring down,jiàngdī
性质,nature; characteristic,xìngzhì
私人,private; personal; interpersonal; sb with whom one has a close personal relationship; a member of one's clique,sīrén
资产,property; assets,zīchǎn
中华人民共和国,People's Republic of China,zhōnghuárénmíngònghéguó
使得,usable; workable; feasible; doable; to make; to cause,shǐde
议员,member (of a legislative body); representative,yìyuán
正是,(emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as,zhèngshì
怀疑,to doubt (sth); to be skeptical of; to have one's doubts; to harbor suspicions; to suspect that,huáiyí
培养,to cultivate; to breed; to foster; to nurture; to educate; to groom (for a position); education; fostering; culture (biology),péiyǎng
描述,to describe; description,miáoshù
测试,to test (machinery etc); to test (students); test; quiz; exam; beta (software),cèshì
成本,"(manufacturing, production etc) costs",chéngběn
并非,really isn't,bìngfēi
注册,to register; to enroll,zhùcè
各个,"every; various; separately, one by one",gègè
而已,that's all; nothing more,éryǐ
考试,to take an exam; exam,kǎoshì
操作,to work; to operate; to manipulate,cāozuò
各位,"everybody; all (guests, colleagues etc); all of you",gèwèi
天下,land under heaven; the whole world; the whole of China; realm; rule,tiānxià
领导人,leader,lǐngdǎorén
深圳,"Shenzhen subprovincial city in Guangdong, special economic zone close to Hong Kong",shēnzhèn
完整,complete; intact,wánzhěng
消失,to disappear; to fade away,xiāoshī
一旦,"in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day",yīdàn
就业,to get a job; employment,jiùyè
禁止,to prohibit; to forbid; to ban,jìnzhǐ
升级,to escalate (in intensity); to go up by one grade; to be promoted; to upgrade (computing),shēngjí
直播,live broadcast (not recorded); direct Internet broadcasting; (agriculture) direct seeding,zhíbō
情绪,mood; state of mind; moodiness,qíngxù
游行,march; parade; demonstration,yóuxíng
审查,to examine; to investigate; to censor out; censorship,shěnchá
确保,to ensure; to guarantee,quèbǎo
众多,numerous,zhòngduō
高度,height; altitude; elevation; high degree; highly,gāodù
立即,immediately,lìjí
依然,still; as before,yīrán
接触,to touch; to contact; access; in touch with,jiēchù
民间,among the people; popular; folk; non-governmental; involving people rather than governments,mínjiān
道德,virtue; morality; ethics,dàodé
公平,fair; impartial,gōngpíng
自我,self-; ego (psychology),zìwǒ
或是,or; either one or the other,huòshì
构成,to constitute; to form; to compose; to make up; to configure (computing),gòuchéng
太阳,sun; abbr. for 太陽穴|太阳穴[tai4 yang2 xue2],tàiyang
国王,king,guówáng
投票,to vote; vote,tóupiào
卫生,health; hygiene; sanitation,wèishēng
实践,practice; to put into practice; to live up to (a promise); to carry out (a project),shíjiàn
少女,girl; young lady,shàonǚ
工厂,factory,gōngchǎng
石油,oil; petroleum,shíyóu
特征,characteristic; diagnostic property; distinctive feature; trait,tèzhēng
包含,to contain; to embody; to include,bāohán
心理,psychology; mentality,xīnlǐ
少年,early youth; youngster; (literary) youth; young man,shàonián
当局,authorities,dāngjú
普遍,universal; general; widespread; common,pǔbiàn
不敢,N/A,N/A
读者,reader,dúzhě
费用,cost; expenditure; expense,fèiyòng
违法,illegal; to break the law,wéifǎ
说法,to expound Buddhist teachings,shuōfǎ
平等,equal; equality,píngděng
监狱,prison,jiānyù
联邦,federal; federation; commonwealth; federal union; federal state; union,liánbāng
审判,a trial; to try sb,shěnpàn
用来,to be used for,yònglái
毕竟,after all; all in all; when all is said and done; in the final analysis,bìjìng
爸爸,(informal) father,bàba
巴黎,"Paris, capital of France",bālí
引发,to lead to; to trigger; to initiate; to cause; to evoke (emotions),yǐnfā
严格,strict; stringent; tight; rigorous,yángé
大概,roughly; probably; rough; approximate; about; general idea,dàgài
小组,group,xiǎozǔ
全世界,worldwide; entire world,quánshìjiè
出席,to attend; to participate; present,chūxí
正义,justice; righteousness; just; righteous,zhèngyì
转移,to shift; to divert or distract (attention etc); to change; to transform; metastasis (medicine); to evacuate (people),zhuǎnyí
关闭,to close; to shut,guānbì
广播,broadcast; broadcasting; to broadcast; (formal) to propagate; to publicize,guǎngbō
导演,to direct; director (film etc),dǎoyǎn
势力,power; (ability to) influence,shìli
冠军,champion,guànjūn
品牌,brand name; trademark,pǐnpái
共有,to have altogether; in all,gòngyǒu
疯狂,crazy; frantic; extreme popularity,fēngkuáng
代理,to act on behalf of sb in a responsible position; to act as an agent or proxy; surrogate; (computing) proxy,dàilǐ
趋势,trend; tendency,qūshì
判断,to judge; to determine; judgment,pànduàn
预算,budget,yùsuàn
年度,"year (e.g. school year, fiscal year); annual",niándù
拍摄,to film; to shoot (a picture),pāishè
城镇,town; cities and towns,chéngzhèn
标志,sign; mark; symbol; logo; to symbolize; to indicate; to mark,biāozhì
